# код|название|период
stone|Каменный век|до ~3300 до н. э.
bronze|Бронзовый век|~3300–1200 до н. э.
antiquity|Античность|~1200 до н. э. – 500 н. э.
early_medieval|Раннее Средневековье|~500–1000
high_medieval|Высокое Средневековье|~1000–1300
exploration|Эпоха открытий|~1300–1550
renaissance|Возрождение|~1450–1650
enlightenment|Просвещение|~1650–1780
industrial_rev|Промышленная революция|~1760–1840
industrial|Индустриальная эра|~1840–1900
modern|Новое время|~1900–1945
atomic|Атомная эра|~1945–1970
information|Информационная эра|~1970–1995
digital|Цифровая эра|~1995–2030
future|Будущее|после 2030
